N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"60,400","1,200",2.03%,100,"3,605,749","5,969,783",49.92,"10,427,366",9.8,13.92,
2,LG에너지솔루션,"515,000","16,000",-3.01%,500,"1,205,100","234,000",5.13,"601,553",209.86,10.68,
3,SK하이닉스,"81,500","2,700",3.43%,"5,000","593,322","728,002",49.84,"2,968,974",6.4,16.84,
4,삼성바이오로직스,"827,000",0,0.00%,"2,500","588,609","71,174",10.76,"47,654",112.27,8.21,
5,삼성전자우,"54,700","1,500",2.82%,100,"450,119","822,887",71.72,"823,153",8.87,N/A,
6,삼성SDI,"645,000","48,000",-6.93%,"5,000","443,531","68,765",47.22,"427,030",26.45,8.45,
7,LG화학,"627,000","43,000",-6.42%,"5,000","442,614","70,592",48.15,"435,568",22.06,18.47,
8,현대차,"162,500",500,0.31%,"5,000","347,211","213,668",29.05,"459,995",7.25,6.84,
9,NAVER,"195,000","9,500",5.12%,100,"319,896","164,049",48.75,"1,077,585",34.36,106.72,
10,기아,"65,200",500,0.77%,"5,000","264,297","405,363",36.23,"1,007,430",5.72,14.69,
11,카카오,"58,100","2,600",4.68%,100,"258,783","445,410",26.85,"2,388,980",16.66,17.1,
12,셀트리온,"180,500","4,000",2.27%,"1,000","254,153","140,805",21.51,"432,138",42.8,16.04,
13,POSCO홀딩스,"284,000","2,500",-0.87%,"5,000","240,182","84,571",51.48,"483,821",4.65,13.97,
14,삼성물산,"118,500","1,000",0.85%,100,"221,461","186,887",16.88,"176,927",12.52,5.4,
15,KB금융,"52,600","2,200",4.37%,"5,000","215,080","408,897",73.11,"2,051,136",4.66,9.8,
16,현대모비스,"208,500","2,500",1.21%,"5,000","196,584","94,285",36.4,"170,154",8.23,6.87,
17,신한지주,"38,000",600,1.60%,"5,000","193,338","508,785",62.17,"2,042,359",4.24,8.8,
18,SK이노베이션,"168,500","5,000",3.06%,"5,000","155,804","92,466",25.67,"415,242",7.13,1.91,
19,SK,"203,500",500,-0.25%,200,"150,894","74,149",22.57,"148,459",4.41,10.19,
20,포스코케미칼,"193,000","11,000",-5.39%,500,"149,504","77,463",8.74,"1,160,469",92.97,7.92,
21,LG전자,"91,000","1,200",1.34%,"5,000","148,920","163,648",26.19,"595,023",10.41,6.32,
22,삼성생명,"73,700",900,1.24%,500,"147,400","200,000",13.58,"525,407",20.8,4.01,
23,하나금융지주,"46,450","1,650",3.68%,"5,000","137,447","295,903",70.29,"1,432,296",3.75,10.86,
24,한국전력,"21,000","1,650",8.53%,"5,000","134,812","641,964",14.29,"3,782,923",-0.66,-7.99,
25,KT&G,"98,000",900,-0.91%,"5,000","134,547","137,292",43.21,"331,956",11.58,10.74,
26,카카오뱅크,"28,100",650,2.37%,"5,000","133,957","476,714",13.56,"3,505,600",55.98,4.91,
27,LG,"80,400",800,1.01%,"5,000","126,470","157,301",36.33,"132,544",5.86,12.36,
28,고려아연,"602,000","2,000",-0.33%,"5,000","119,576","19,863",22.91,"51,262",15.73,11.07,
29,LG생활건강,"722,000","43,000",6.33%,"5,000","112,763","15,618",36.27,"107,719",26.51,16.65,
30,SK텔레콤,"50,000",200,-0.40%,100,"109,417","218,833",46.05,"334,256",11.57,13.63,
31,HMM,"22,050","1,200",5.76%,"5,000","107,833","489,039",9.53,"2,292,922",0.94,88.62,
32,삼성전기,"138,000","1,500",1.10%,"5,000","103,077","74,694",27.91,"322,124",11.23,14.29,
33,현대중공업,"116,000","1,500",-1.28%,"5,000","102,977","88,773",6.36,"143,234",-14.5,-14.87,
34,엔씨소프트,"468,000","2,000",0.43%,500,"102,745","21,954",43.76,"98,850",17.38,12.62,
35,두산에너빌리티,"16,000",50,0.31%,"5,000","102,129","638,308",11.72,"2,255,374",320,10.67,
36,삼성에스디에스,"127,500","1,500",1.19%,500,"98,657","77,378",13.84,"78,563",10.28,8.8,
37,KT,"37,700",100,0.27%,"5,000","98,439","261,112",43.56,"688,171",6.91,9.36,
38,삼성화재,"207,000","2,500",1.22%,500,"98,066","47,375",50.19,"79,700",9.04,7.09,
39,대한항공,"26,050",50,0.19%,"5,000","95,921","368,221",16.16,"1,284,161",5.19,11.6,
40,S-Oil,"84,400","1,700",2.06%,"2,500","95,020","112,583",79.9,"350,913",4.55,21.76,
41,우리금융지주,"12,950",400,3.19%,"5,000","94,284","728,061",40.23,"2,640,630",3.09,10.59,
42,한화솔루션,"46,950","1,000",-2.09%,"5,000","89,805","191,278",25.06,"1,488,717",30.87,8.79,
43,크래프톤,"180,500","1,000",0.56%,100,"88,575","49,072",29.27,"249,244",13.17,17.86,
44,카카오페이,"66,100","2,800",4.42%,500,"87,888","132,962",42.85,"2,304,552",-333.84,-2.45,
45,기업은행,"11,050",200,1.84%,"5,000","82,245","744,301",13.78,"1,089,707",3.37,9.21,
46,아모레퍼시픽,"139,500","4,000",2.95%,500,"81,597","58,493",24.87,"358,583",140.91,4.2,
47,LG이노텍,"286,500","4,500",1.60%,"5,000","67,806","23,667",24,"217,298",6.53,30.94,
48,현대글로비스,"173,000","4,000",2.37%,500,"64,875","37,500",47.47,"72,294",5.97,14.41,
49,하이브,"156,500","11,500",7.93%,500,"64,718","41,353",14.68,"402,171",23.65,6.83,
50,롯데케미칼,"186,000","10,000",-5.10%,"5,000","63,752","34,275",26.03,"184,294",28.94,9.87,
51,SK바이오사이언스,"82,900",900,-1.07%,500,"63,654","76,784",4.74,"132,974",22.8,38.08,
52,F&F,"150,500","4,000",-2.59%,100,"57,652","38,307",12.67,"160,755",14.23,N/A,
53,SK바이오팜,"72,900","1,400",1.96%,500,"57,090","78,313",6.54,"74,370",-117.77,15.75,
54,CJ제일제당,"378,500","6,500",1.75%,"5,000","56,980","15,054",24.35,"45,016",9.3,10.76,
55,KODEX 200,"31,230",360,1.17%,0,"53,997","172,900",11.56,"4,021,136",N/A,N/A,
56,강원랜드,"24,650",0,0.00%,500,"52,736","213,940",22.98,"235,192",55.27,-0.33,
57,LG유플러스,"12,050",150,1.26%,"5,000","52,612","436,611",38.02,"456,631",8.82,9.47,
58,한국조선해양,"73,600",800,1.10%,"5,000","52,089","70,773",20.28,"138,839",-8.14,-8.95,
59,SK스퀘어,"35,900",300,0.84%,100,"50,787","141,468",41.84,"354,644",3.1,N/A,
