,title,title_label
0,이쯤되면 살만하지 않아카카오를 보는 시선이 달라지고 있다,1
1,네이버카카오 금융복합기업집단 지정해 리스크 대비해야,1
2,신한카드 공인전자문서 중계 서비스 부 능선카카오 등과 경쟁,0
3,네이버카카오 간밤 나스닥 반등에 동반 ,1
4,코스피  증시 훈풍에 상승네이버카카오 대 강세 개장시황,1
5,카카오 블랙아웃 방지법 국회 통과,1
6,플랫폼도 국가재난계획에 포함카카오 블랙아웃 방지법 국회 통과,1
7,카카오두나무위메이드 인연과 악연 사이,1
8,뼈 아팠던 서비스 장애 카카오 시스템 영역별 다중화 이어간다,0
9,카카오 모두를 위한  도전 이어간다,1
10,커리어데이 카카오구글 출신 황성현 경영고문 영입,0
11,샤넬 향수 사면 뷰티 클래스 초대장 카카오 기프트엑스 출시,0
12,카톡에서 선물하면 샤넬 뷰티 클래스에 초대카카오 기프트엑스,0
13,카카오 시스템 다중화로 먹통 막는다,0
14,카카오의 고백끊긴 다리와 같았다,1
15,카카오의 뼈아픈 고백완성되지 않은 다리로 섬 이었다,1
16,카카오 시스템 전체 다중화로 먹통 방지서비스 안정화가 최우선,0
17,반성의 장된 카카오 개발자 콘퍼런스 먹통 재발방지안 공개,0
18,시스템 다중화비상대응 체계 구축 먹통 재발 방지대책 내놓은 카카,0
19,카카오가 직접 다 밝혔다 카카오 대란의 원인은,1
20,중국이 퍼간 국내 웹툰웹소설 카카오엔터가 만건 잡아냈다,0
21,카카오엔터 개월간 불법 웹툰웹소설 만건 차단,0
22,영상 카카오 먹통사태 이중화 미흡 때문재발방지책 발표,0
23,본질 놓쳤다 반성문 쓴 카카오 년간 투자 배 확대종합,0
24,서울산업진흥원 네이버카카오에서  온라인 판로 개척,1
25,두 번 실수 없다 카카오 대표 직속  인프라 컨트롤타워 만든다,1
26,카카오 서비스 안정화 투자 배 늘린다전담 조직  직속으로,0
27,카카오 사태 사회적 책임소명 다할 것,1
28,영상카카오 오늘 먹통 사태 구체적 원인재발방지책 발표,0
29,카카오모빌리티 시그니처 향기 슬로우 그린 개발벤티에 적용,0
30,센트온 카카오모빌리티 시그니처 향기 개발,1
31,카카오 택시 전용 향기 나온다,0
32,카카오네이버 먹통 복구 시간 차이 원인은 이중화 조치 여부,0
33,과기정통부 카카오에 재발방지 요구한달 내 제출,1
34,카카오 장애복구 시간 걸렸다 제의 카카오 블랙아웃 해법은,0
35,디지털 재난대응   카카오 네이버개월 내 개선조,0
36,화재 원인 여전히 미궁 강제성 없는 행정지도 실효성 글쎄 제의 카,0
37,과기정통부 카카오 먹통 사태 개선계획 한달 내 보고하라,0
38,과기정통부 카카오 먹통 피해 만천건,0
39,판교 배터리 모니터링 작동안해카카오에도 다중화 지시,0
40,카카오 데이터센터 분산하라,0
41,시그널 로카모빌리티 본입찰맥쿼리카카오 파전 되나,0
42,디지털 재난대응 카카오 대기 시스템 제대로 작동하지 않아,0
43, 월드컵 강 진출에 네이버카카오도 특수,1
44,세계 최초 카카오가 해냈다공개 앞둔 새 먹거리 정체,0
45,먹통 달만에 재발방지책 발표하는 카카오,1
46,금감원 카카오금융사 재난 비상대응 미흡 포착,0
47,네이버카카오 커뮤니티 서비스에 목숨 건다인싸,0
48,연기금의 변심엔솔 팔고 이젠 네이버카카오 산다,0
49,카카오 먹통으로 금전적 피해봤다는 무료 이용자 만명,0
50,카카오 블랙아웃 피해 중 유료 서비스는 ,0
51,허리띠 졸라맨 네이버카카오 목표주가 개월 만에 올랐다,1
52,미들마일에 돈 몰린다카카오티맵도 뛰어든 조원 시장,0
53,네이버카카오 이젠 좀 살아날까 나스닥 훈풍에 강세,0
54,네이버카카오 나스닥 훈풍에  상승,1
55,특징주 나스닥 훈풍네이버 카카오  동반 강세,0
56,특징주 네이버카카오 대 강세  나스닥 훈풍 영향,0
57,특징주네이버카카오  나스닥 훈풍에 강세,0
58,카카오모빌리티 선한 영향력 발휘한 도로 위 히어로즈 찾는다,0
59,택시 인식 긍정적으로카카오모빌리티 도로 위 히어로즈 공모,0
60,증시에 파월 산타 오셨나나스닥  급등에 카뱅 카카오,0
61,비둘기로 돌변한 파월 의장카카오카뱅카페 주주들 환호성,0
62,특징주 네이버카카오 나스닥 급등에 장중 동반 강세,0
63,카카오 먹통 사태 보상 협의체 차 전체 회의 연다,0
64,특징주 네이버카카오 파월 속도조절 시사에 급등,0
65,나스닥 급등에 네이버카카오 강세카카오페이  개장시황,1
66,몸집만 카카오 당근마켓 수장교체 전략 먹힐까,0
67,카카오현대 기술 모았다무료 달구벌 자율주행차 어떻게 타요,0
68,네이버카카오토스쿠팡페이 내년부터 깜깜이 수수료 연 회 공시,0
69,네이버카카오 내년 월부터 간편결제 수수료율 공시한다,0
