,title,title_label
0,신한카드 공인전자문서 중계 서비스 부 능선카카오 등과 경쟁,0
1,뼈 아팠던 서비스 장애 카카오 시스템 영역별 다중화 이어간다,0
2,커리어데이 카카오구글 출신 황성현 경영고문 영입,0
3,샤넬 향수 사면 뷰티 클래스 초대장 카카오 기프트엑스 출시,0
4,카톡에서 선물하면 샤넬 뷰티 클래스에 초대카카오 기프트엑스,0
5,카카오 시스템 다중화로 먹통 막는다,0
6,카카오 시스템 전체 다중화로 먹통 방지서비스 안정화가 최우선,0
7,반성의 장된 카카오 개발자 콘퍼런스 먹통 재발방지안 공개,0
8,시스템 다중화비상대응 체계 구축 먹통 재발 방지대책 내놓은 카카,0
9,중국이 퍼간 국내 웹툰웹소설 카카오엔터가 만건 잡아냈다,0
10,카카오엔터 개월간 불법 웹툰웹소설 만건 차단,0
11,영상 카카오 먹통사태 이중화 미흡 때문재발방지책 발표,0
12,본질 놓쳤다 반성문 쓴 카카오 년간 투자 배 확대종합,0
13,카카오 서비스 안정화 투자 배 늘린다전담 조직  직속으로,0
14,영상카카오 오늘 먹통 사태 구체적 원인재발방지책 발표,0
15,카카오모빌리티 시그니처 향기 슬로우 그린 개발벤티에 적용,0
16,카카오 택시 전용 향기 나온다,0
17,카카오네이버 먹통 복구 시간 차이 원인은 이중화 조치 여부,0
18,카카오 장애복구 시간 걸렸다 제의 카카오 블랙아웃 해법은,0
19,디지털 재난대응   카카오 네이버개월 내 개선조,0
20,화재 원인 여전히 미궁 강제성 없는 행정지도 실효성 글쎄 제의 카,0
21,과기정통부 카카오 먹통 사태 개선계획 한달 내 보고하라,0
22,과기정통부 카카오 먹통 피해 만천건,0
23,판교 배터리 모니터링 작동안해카카오에도 다중화 지시,0
24,카카오 데이터센터 분산하라,0
25,시그널 로카모빌리티 본입찰맥쿼리카카오 파전 되나,0
26,디지털 재난대응 카카오 대기 시스템 제대로 작동하지 않아,0
27,세계 최초 카카오가 해냈다공개 앞둔 새 먹거리 정체,0
28,금감원 카카오금융사 재난 비상대응 미흡 포착,0
29,네이버카카오 커뮤니티 서비스에 목숨 건다인싸,0
30,연기금의 변심엔솔 팔고 이젠 네이버카카오 산다,0
31,카카오 먹통으로 금전적 피해봤다는 무료 이용자 만명,0
32,카카오 블랙아웃 피해 중 유료 서비스는 ,0
33,미들마일에 돈 몰린다카카오티맵도 뛰어든 조원 시장,0
34,네이버카카오 이젠 좀 살아날까 나스닥 훈풍에 강세,0
35,특징주 나스닥 훈풍네이버 카카오  동반 강세,0
36,특징주 네이버카카오 대 강세  나스닥 훈풍 영향,0
37,특징주네이버카카오  나스닥 훈풍에 강세,0
38,카카오모빌리티 선한 영향력 발휘한 도로 위 히어로즈 찾는다,0
39,택시 인식 긍정적으로카카오모빌리티 도로 위 히어로즈 공모,0
40,증시에 파월 산타 오셨나나스닥  급등에 카뱅 카카오,0
41,비둘기로 돌변한 파월 의장카카오카뱅카페 주주들 환호성,0
42,특징주 네이버카카오 나스닥 급등에 장중 동반 강세,0
43,카카오 먹통 사태 보상 협의체 차 전체 회의 연다,0
44,특징주 네이버카카오 파월 속도조절 시사에 급등,0
45,몸집만 카카오 당근마켓 수장교체 전략 먹힐까,0
46,카카오현대 기술 모았다무료 달구벌 자율주행차 어떻게 타요,0
47,네이버카카오토스쿠팡페이 내년부터 깜깜이 수수료 연 회 공시,0
