,제목,링크,정보제공,날짜
0,"
이쯤되면 살만하지 않아?…카카오를 보는 시선이 달라지고 있다
",https://finance.naver.com//item/news_read.naver?article_id=0005058185&office_id=009&code=035720&page=1&sm=title_entity_id.basic,매일경제, 2022.12.10 07:01
1,"
""네이버·카카오 금융복합기업집단 지정해 리스크 대비해야""
",https://finance.naver.com//item/news_read.naver?article_id=0005189900&office_id=277&code=035720&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.09 16:52
2,"
신한카드, 공인전자문서 중계 서비스 9부 능선…카카오·KT 등과 경쟁
",https://finance.naver.com//item/news_read.naver?article_id=0005384254&office_id=018&code=035720&page=1&sm=title_entity_id.basic,이데일리, 2022.12.09 16:19
3,"
네이버·카카오, 간밤 나스닥 반등에 동반 ↑
",https://finance.naver.com//item/news_read.naver?article_id=0004785399&office_id=015&code=035720&page=1&sm=title_entity_id.basic,한국경제, 2022.12.09 09:39
4,"
코스피, 美 증시 훈풍에 상승…네이버·카카오 3%대 강세 [개장시황]
",https://finance.naver.com//item/news_read.naver?article_id=0000035945&office_id=243&code=035720&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.09 09:33
5,"
'카카오 블랙아웃 방지법' 국회 통과
",https://finance.naver.com//item/news_read.naver?article_id=0004939812&office_id=014&code=035720&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.08 18:28
6,"
""플랫폼도 국가재난계획에 포함""…'카카오 블랙아웃 방지법' 국회 통과
",https://finance.naver.com//item/news_read.naver?article_id=0004939667&office_id=014&code=035720&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.08 16:31
7,"
카카오·두나무·위메이드, 인연과 악연 사이
",https://finance.naver.com//item/news_read.naver?article_id=0000012225&office_id=648&code=035720&page=1&sm=title_entity_id.basic,비즈니스워치, 2022.12.08 17:00
8,"
'뼈 아팠던 서비스 장애' 카카오, 시스템 영역별 다중화 이어간다
",https://finance.naver.com//item/news_read.naver?article_id=0004939698&office_id=014&code=035720&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.08 16:49
9,"
카카오, '모두를 위한 AI' 도전 이어간다
",https://finance.naver.com//item/news_read.naver?article_id=0005383299&office_id=018&code=035720&page=1&sm=title_entity_id.basic,이데일리, 2022.12.08 14:32
10,"
커리어데이, 카카오·구글 출신 황성현 경영고문 영입
",https://finance.naver.com//item/news_read.naver?article_id=0004826775&office_id=008&code=035720&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.08 10:42
11,"
""샤넬 향수 사면 뷰티 클래스 초대장"" 카카오, '기프트엑스' 출시
",https://finance.naver.com//item/news_read.naver?article_id=0005382995&office_id=018&code=035720&page=2&sm=title_entity_id.basic,이데일리, 2022.12.08 09:49
12,"
""카톡에서 선물하면 샤넬 뷰티 클래스에 초대""...카카오, 기프트엑스...
",https://finance.naver.com//item/news_read.naver?article_id=0005188967&office_id=277&code=035720&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.08 09:17
13,"
카카오, ‘시스템 다중화’로 먹통 막는다
",https://finance.naver.com//item/news_read.naver?article_id=0004939133&office_id=014&code=035720&page=2&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.07 18:12
14,"
카카오의 고백…""끊긴 다리와 같았다""
",https://finance.naver.com//item/news_read.naver?article_id=0000012201&office_id=648&code=035720&page=2&sm=title_entity_id.basic,비즈니스워치, 2022.12.07 16:47
15,"
카카오의 뼈아픈 고백…""완성되지 않은 다리로 섬 이었다""
",https://finance.naver.com//item/news_read.naver?article_id=0004826390&office_id=008&code=035720&page=2&sm=title_entity_id.basic,머니투데이, 2022.12.07 13:47
16,"
카카오, 시스템 전체 다중화로 먹통 방지…""서비스 안정화가 최우선""
",https://finance.naver.com//item/news_read.naver?article_id=0005188503&office_id=277&code=035720&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.07 11:05
17,"
‘반성의 장’된 카카오 개발자 콘퍼런스, 먹통 재발방지안 공개
",https://finance.naver.com//item/news_read.naver?article_id=0000035821&office_id=243&code=035720&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.07 17:20
18,"
“시스템 다중화·비상대응 체계 구축” 먹통 재발 방지대책 내놓은 카카...
",https://finance.naver.com//item/news_read.naver?article_id=0002075217&office_id=016&code=035720&page=2&sm=title_entity_id.basic,헤럴드경제, 2022.12.07 11:28
19,"
카카오가 직접 다 밝혔다 ""카카오 대란의 원인은…""
",https://finance.naver.com//item/news_read.naver?article_id=0004826331&office_id=008&code=035720&page=2&sm=title_entity_id.basic,머니투데이, 2022.12.07 11:14
20,"
중국이 퍼간 국내 웹툰·웹소설, 카카오엔터가 104만건 잡아냈다
",https://finance.naver.com//item/news_read.naver?article_id=0000035819&office_id=243&code=035720&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.07 17:02
21,"
카카오엔터, 8개월간 불법 웹툰·웹소설 688만건 차단
",https://finance.naver.com//item/news_read.naver?article_id=0004130765&office_id=011&code=035720&page=2&sm=title_entity_id.basic,서울경제, 2022.12.07 10:22
22,"
(영상) 카카오 ""먹통사태 이중화 미흡 때문""...재발방지책 발표
",https://finance.naver.com//item/news_read.naver?article_id=0005382604&office_id=018&code=035720&page=2&sm=title_entity_id.basic,이데일리, 2022.12.07 16:58
23,"
""본질 놓쳤다"" 반성문 쓴 카카오, 5년간 투자 3배 확대(종합)
",https://finance.naver.com//item/news_read.naver?article_id=0005382605&office_id=018&code=035720&page=2&sm=title_entity_id.basic,이데일리, 2022.12.07 16:58
24,"
서울산업진흥원, 네이버·카카오에서 中企 온라인 판로 개척
",https://finance.naver.com//item/news_read.naver?article_id=0005056686&office_id=009&code=035720&page=2&sm=title_entity_id.basic,매일경제, 2022.12.07 16:17
