,횟수
"
카카오,",640
카카오,572
"
카카오",526
"카카오,",186
"...
",133
매각,127
"
[특징주]",126
주가,106
네이버·카카오,96
"
카카오모빌리티,",84
플랫폼,83
"
[카카오",78
AI,78
매출,75
영업익,75
대표,74
등,73
서비스,72
남궁훈,70
실적,68
카카오모빌리티,65
신저가,65
"
카카오모빌리티",64
52주,64
"
[단독]",63
첫,63
투자,62
모빌리티,60
동반,59
피해,57
성장,56
지분,56
또,53
상장,53
시총,52
김범수,52
사업,52
"
카카오엔터,",51
"
코스피",50
계열사,50
'카카오,48
"
""카카오,",48
"
네이버·카카오",48
"
[속보]",47
글로벌,45
나스닥,44
먹통,44
"카카오
",43
"
카카오엔터프라이즈,",43
목표가,43
"네이버·카카오,",43
"신저가
",41
시장,41
데이터센터,41
주식,40
"
""카카오",40
광고,40
노조,40
"출시
",39
만에,39
1위,39
"
네이버·카카오,",39
최대,39
"
'카카오",39
물류,39
3분기,38
화재,38
하락,36
규모,36
"
[클릭",36
"""카카오",36
메타버스,36
"강세
",35
"[개장시황]
",35
디지털,35
나란히,35
먹통],35
올해,34
거래액,34
소상공인,34
인수,33
"것""
",33
카카오모빌리티와,33
규제,33
"""카카오모빌리티",32
더,32
이어,31
"
‘카카오",30
먹통',30
안,30
자사주,29
검토,29
후,29
"약세
",29
다시,29
못,29
"확대
",28
홍은택,28
수,28
"만든다
",28
