,제목,링크,정보제공,날짜
0,"
[하나證 주간추천주] 제주항공·코스맥스·카카오게임즈
",https://finance.naver.com//item/news_read.naver?article_id=0005384528&office_id=018&code=293490&page=1&sm=title_entity_id.basic,이데일리, 2022.12.10 09:09
1,"
엔씨 올리고 vs 펄어비스 카카오게임즈 내리고...게임주 목표가 ‘희비...
",https://finance.naver.com//item/news_read.naver?article_id=0005055234&office_id=009&code=293490&page=1&sm=title_entity_id.basic,매일경제, 2022.12.05 08:50
2,"
하이브·카카오게임즈…이달 '의무보유 해제' 주의보
",https://finance.naver.com//item/news_read.naver?article_id=0004781955&office_id=015&code=293490&page=1&sm=title_entity_id.basic,한국경제, 2022.11.30 19:11
3,"
카카오게임즈 ‘오딘’, MMORPG 핵심 콘텐츠 ‘공성전’ 전격 오픈
",https://finance.naver.com//item/news_read.naver?article_id=0000035315&office_id=243&code=293490&page=1&sm=title_entity_id.basic,이코노미스트, 2022.11.30 16:24
4,"
카카오게임즈, ‘에버소울’ 글로벌 사전예약 돌입
",https://finance.naver.com//item/news_read.naver?article_id=0005377181&office_id=018&code=293490&page=1&sm=title_entity_id.basic,이데일리, 2022.11.29 16:35
5,"
카카오게임즈, 신작 ‘에버소울’ 성우 인터뷰 영상 공개
",https://finance.naver.com//item/news_read.naver?article_id=0005375884&office_id=018&code=293490&page=1&sm=title_entity_id.basic,이데일리, 2022.11.28 09:25
6,"
카카오게임즈 PC 생존 FPS 신작 ‘디스테라’, 앞서 해보기 형태로 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000034963&office_id=243&code=293490&page=1&sm=title_entity_id.basic,이코노미스트, 2022.11.24 16:28
7,"
카카오게임즈 ‘오딘’, 오는 30일 MMORPG의 꽃 ‘공성전’ 선보인...
",https://finance.naver.com//item/news_read.naver?article_id=0000034759&office_id=243&code=293490&page=1&sm=title_entity_id.basic,이코노미스트, 2022.11.22 15:30
8,"
카카오게임즈 자회사 라이온하트, 개발자 대규모 채용
",https://finance.naver.com//item/news_read.naver?article_id=0004820759&office_id=008&code=293490&page=1&sm=title_entity_id.basic,머니투데이, 2022.11.22 11:25
9,"
엘앤에프·카카오게임…'코스닥 어벤져스' 모았다
",https://finance.naver.com//item/news_read.naver?article_id=0004124680&office_id=011&code=293490&page=1&sm=title_entity_id.basic,서울경제, 2022.11.21 18:06
10,"
카카오게임즈, ‘디지털 서포터즈’ 2기 전통시장 활성화 행사
",https://finance.naver.com//item/news_read.naver?article_id=0005371656&office_id=018&code=293490&page=2&sm=title_entity_id.basic,이데일리, 2022.11.21 16:30
11,"
코스닥 글로벌 출격...카카오게임즈·셀트리온헬스케어 편입
",https://finance.naver.com//item/news_read.naver?article_id=0004930937&office_id=014&code=293490&page=2&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.21 10:10
12,"
카카오게임즈 야심작 '가디스 오더'…""수동조작으로 손맛 극대화""
",https://finance.naver.com//item/news_read.naver?article_id=0005179763&office_id=277&code=293490&page=2&sm=title_entity_id.basic,아시아경제, 2022.11.19 08:00
13,"
[지스타 2022] 카카오게임즈 디스테라 ""생존 게임, FPS 팬 모두...
",https://finance.naver.com//item/news_read.naver?article_id=0004930427&office_id=014&code=293490&page=2&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.18 17:42
14,"
“부진은 잊어라”…신작 공세로 반격 나선 넷마블·카카오게임즈
",https://finance.naver.com//item/news_read.naver?article_id=0000078391&office_id=024&code=293490&page=2&sm=title_entity_id.basic,매경이코노미, 2022.11.18 15:46
