,날짜,종가,전일비,시가,고가,저가,거래량
0,2022.12.15,"42,650","-2,150","44,400","44,450","42,600","396,340"
1,2022.12.14,"44,800","+1,350","43,850","44,900","43,550","439,182"
2,2022.12.13,"43,450",+250,"44,000","45,200","43,150","516,320"
3,2022.12.12,"43,200",+450,"41,850","43,600","40,500","359,385"
4,2022.12.09,"42,750",+950,"41,900","43,300","41,800","383,111"
5,2022.12.08,"41,800",0,"41,650","41,950","41,400","308,146"
6,2022.12.07,"41,800",-550,"41,900","42,500","41,400","195,779"
7,2022.12.06,"42,350",-900,"42,500","43,700","41,800","221,576"
8,2022.12.05,"43,250","+1,100","42,250","43,800","42,250","361,394"
9,2022.12.02,"42,150","-1,100","43,300","43,600","42,100","375,390"
10,2022.12.01,"43,250",-250,"44,850","45,250","43,200","554,464"
11,2022.11.30,"43,500",+950,"42,500","43,500","42,050","403,116"
12,2022.11.29,"42,550","+1,200","41,000","42,700","40,800","297,120"
13,2022.11.28,"41,350","-1,500","42,700","42,800","41,350","387,498"
14,2022.11.25,"42,850","-1,650","43,400","44,250","42,400","585,006"
15,2022.11.24,"44,500","+1,200","43,750","44,650","43,550","390,609"
16,2022.11.23,"43,300","+2,150","42,500","43,500","42,200","462,671"
17,2022.11.22,"41,150","-1,250","41,700","42,150","41,000","385,975"
18,2022.11.21,"42,400",-950,"43,200","43,750","42,200","356,507"
19,2022.11.18,"43,350","-1,150","44,600","45,150","43,250","391,228"
20,2022.11.17,"44,500",-300,"44,800","46,000","43,900","630,197"
21,2022.11.16,"44,800",+150,"44,900","45,450","44,500","471,033"
22,2022.11.15,"44,650","+1,050","43,400","44,700","43,150","591,127"
23,2022.11.14,"43,600","-2,000","46,000","46,100","43,150","1,222,208"
24,2022.11.11,"45,600","+4,550","43,800","48,350","43,250","3,709,889"
25,2022.11.10,"41,050",-450,"40,700","41,400","40,400","407,365"
26,2022.11.09,"41,500",+450,"41,300","42,350","41,200","667,838"
27,2022.11.08,"41,050","+1,700","39,850","41,400","39,750","875,441"
28,2022.11.07,"39,350",+400,"38,500","39,600","38,500","468,597"
29,2022.11.04,"38,950","+1,550","37,100","39,200","36,450","897,443"
30,2022.11.03,"37,400","-2,100","38,100","38,700","37,400","842,388"
31,2022.11.02,"39,500",-100,"38,800","41,250","36,950","2,071,466"
32,2022.11.01,"39,600",+50,"39,600","39,900","39,300","289,817"
33,2022.10.31,"39,550",+750,"39,800","40,450","38,700","578,122"
34,2022.10.28,"38,800",+100,"38,400","39,450","37,250","470,621"
35,2022.10.27,"38,700",+550,"38,150","39,350","38,100","501,552"
36,2022.10.26,"38,150",+450,"38,250","38,700","37,250","395,968"
37,2022.10.25,"37,700",-400,"38,250","38,500","37,500","314,114"
38,2022.10.24,"38,100",+200,"38,950","39,950","37,950","603,563"
39,2022.10.21,"37,900",+700,"36,800","38,400","36,700","498,016"
40,2022.10.20,"37,200","-1,000","38,300","38,300","36,350","631,965"
41,2022.10.19,"38,200","-1,000","39,100","40,250","38,050","855,511"
42,2022.10.18,"39,200","+1,800","38,150","39,500","37,950","893,462"
43,2022.10.17,"37,400",-850,"35,900","37,600","34,750","1,487,965"
44,2022.10.14,"38,250","+3,300","39,550","40,750","37,850","4,248,048"
45,2022.10.13,"34,950","-2,150","36,850","36,900","34,250","1,387,461"
46,2022.10.12,"37,100","-1,100","37,900","38,200","36,550","844,875"
47,2022.10.11,"38,200","-1,400","38,050","38,950","37,350","499,880"
48,2022.10.07,"39,600","-2,150","41,100","41,150","38,800","1,024,056"
49,2022.10.06,"41,750",+100,"41,700","42,450","41,650","349,277"
50,2022.10.05,"41,650","-2,200","44,550","44,550","41,650","492,767"
51,2022.10.04,"43,850","+1,200","43,250","44,400","42,850","572,128"
52,2022.09.30,"42,650","+1,400","40,700","43,250","40,550","548,103"
53,2022.09.29,"41,250",+850,"41,500","43,050","41,050","720,433"
54,2022.09.28,"40,400","-2,650","42,700","42,800","40,050","813,311"
55,2022.09.27,"43,050",+900,"41,700","44,300","41,700","847,135"
56,2022.09.26,"42,150",-750,"42,050","43,150","41,400","569,793"
57,2022.09.23,"42,900","-1,100","43,600","44,000","42,900","448,988"
