,제목,링크,정보제공,날짜
0,"
""이러다 카뱅 꼴 나는 거 아냐?""…LG엔솔 직원들 '멘붕' [박의명의...
",https://finance.naver.com//item/news_read.naver?article_id=0004785889&office_id=015&code=323410&page=1&sm=title_entity_id.basic,한국경제, 2022.12.10 20:46
1,"
'셀카 사진'으로 본인 인증…카뱅, OTP 편의성 강화
",https://finance.naver.com//item/news_read.naver?article_id=0004785640&office_id=015&code=323410&page=1&sm=title_entity_id.basic,한국경제, 2022.12.09 17:31
2,"
카카오뱅크, OTP 대신 ‘셀카’로 본인인증하는 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000861218&office_id=366&code=323410&page=1&sm=title_entity_id.basic,조선비즈, 2022.12.09 16:30
3,"
카카오뱅크, 이제 셀카로 OTP 인증한다
",https://finance.naver.com//item/news_read.naver?article_id=0002076354&office_id=016&code=323410&page=1&sm=title_entity_id.basic,헤럴드경제, 2022.12.09 14:29
4,"
카카오뱅크, 셀카로 OTP 인증…편의성·보안성 동시 개선
",https://finance.naver.com//item/news_read.naver?article_id=0004785533&office_id=015&code=323410&page=1&sm=title_entity_id.basic,한국경제, 2022.12.09 14:18
5,"
카카오뱅크, 셀카로 OTP 인증…편의?보안성 높여
",https://finance.naver.com//item/news_read.naver?article_id=0000035954&office_id=243&code=323410&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.09 10:37
6,"
카카오뱅크, '셀카 계좌개설' 이어 '셀카 OTP' 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0004131677&office_id=011&code=323410&page=1&sm=title_entity_id.basic,서울경제, 2022.12.09 09:28
7,"
카카오뱅크 “이제 셀카로 OTP 인증하세요”
",https://finance.naver.com//item/news_read.naver?article_id=0005383813&office_id=018&code=323410&page=1&sm=title_entity_id.basic,이데일리, 2022.12.09 09:15
8,"
셀카로 본인인증 OK…카뱅, 셀프카메라 OTP 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0005189569&office_id=277&code=323410&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.09 09:04
9,"
카카오뱅크, 주택 담보 대출 출시 10개월 만에 잔액 1조원 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0000063225&office_id=050&code=323410&page=1&sm=title_entity_id.basic,한경비즈니스, 2022.12.09 16:27
10,"
카뱅·카페·쏘카, 고대하던 매수 리포트 떴다…투자자 ‘반색’
",https://finance.naver.com//item/news_read.naver?article_id=0000078769&office_id=024&code=323410&page=1&sm=title_entity_id.basic,매경이코노미, 2022.12.09 14:16
11,"
[1mm금융톡]""이게 가능해?…카뱅 주담대 절반이 금리 3%대""
",https://finance.naver.com//item/news_read.naver?article_id=0005189664&office_id=277&code=323410&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.09 10:20
12,"
""이게 얼마만""…카뱅·쏘카 '매수 리포트' 떴다
",https://finance.naver.com//item/news_read.naver?article_id=0004131581&office_id=011&code=323410&page=1&sm=title_entity_id.basic,서울경제, 2022.12.08 18:55
13,"
카카오뱅크, ‘한사랑 장애아동 지원사업’에 기부금 1억원 전달
",https://finance.naver.com//item/news_read.naver?article_id=0000035869&office_id=243&code=323410&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.08 11:24
14,"
카카오뱅크, 대출 성장률 내년 20%대로 회복 기대-하나
",https://finance.naver.com//item/news_read.naver?article_id=0004939317&office_id=014&code=323410&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.08 09:05
15,"
""카카오뱅크, 내년 대출성장률 20% 개선 예상""
",https://finance.naver.com//item/news_read.naver?article_id=0004131122&office_id=011&code=323410&page=1&sm=title_entity_id.basic,서울경제, 2022.12.08 08:37
16,"
하나證 “카카오뱅크, 목표가 3만원으로 상향…대출성장률 개선으로 플랫...
",https://finance.naver.com//item/news_read.naver?article_id=0000860690&office_id=366&code=323410&page=1&sm=title_entity_id.basic,조선비즈, 2022.12.08 08:09
17,"
카카오뱅크, 대출성장+NIM 상승…이익 확대 예상-하나증권
",https://finance.naver.com//item/news_read.naver?article_id=0004826652&office_id=008&code=323410&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.08 08:05
18,"
카카오뱅크, 톱라인 개선 모멘텀 부각… 목표가↑-하나
",https://finance.naver.com//item/news_read.naver?article_id=0005382850&office_id=018&code=323410&page=1&sm=title_entity_id.basic,이데일리, 2022.12.08 08:02
19,"
카뱅 주담대 잔액 10개월 만에 1조 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0004939095&office_id=014&code=323410&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.07 18:01
