,횟수
"
카카오뱅크,",1462
"
카카오뱅크",478
최대,305
금리,255
"
카뱅",218
카카오뱅크,213
주담대,203
"
카뱅,",196
대출,189
"카카오뱅크,",154
카뱅,149
"출시
",144
"인하
",128
"돌파
",115
고객,104
개인사업자,98
대상,94
서비스,89
순익,87
이자,87
"재개
",85
자사주,84
계좌,83
"인상
",81
3분기,80
주택담보대출,80
첫,76
with,76
주가,74
"...
",73
실적,73
예·적금,72
신용대출,69
등,69
"
[특징주]",69
달,68
"진행
",64
개발자,60
대표,58
"카뱅,",58
"
윤호영",55
상반기,53
1분기,52
만기,52
연,51
"
코인원,",51
"이벤트
",50
이벤트,48
신규,48
연봉,47
만에,47
"지원
",46
순이익,45
적금,45
영업익,44
청소년,44
"모집
",43
비상대응특별점검반,42
"매입
",41
"획득
",40
'26주적금,39
주식,38
1주택자,38
"확대
",37
실명계좌,34
2000만명,34
출범,34
수,34
중저신용자,34
고신용자,33
‘26주적금,33
직원,32
피해,32
0.5%p,31
최고,30
"
""카카오뱅크,",30
사업,30
인턴,30
29일부터,30
개설,29
출시,29
금융사기,29
금융,29
대출금리,29
뱅킹,29
중신용대출,28
추가,28
"
코스피",28
"개발
",28
한국은행,28
3%,28
예적금,28
0.4%p,28
"채용
",27
"↑
",27
"임원진,",27
작년,27
모의실험,27
목표가,27
26주,27
