,날짜,종가,전일비,시가,고가,저가,거래량
0,2022.12.15,"26,050","-2,650","28,300","28,500","25,800","5,788,858"
1,2022.12.14,"28,700",-300,"29,500","29,500","28,400","3,122,812"
2,2022.12.13,"29,000","+1,000","28,500","29,050","28,250","4,514,967"
3,2022.12.12,"28,000",-100,"28,000","28,650","27,400","2,818,746"
4,2022.12.09,"28,100",+650,"27,800","28,150","27,400","3,539,550"
5,2022.12.08,"27,450",+650,"26,950","27,650","26,700","2,774,536"
6,2022.12.07,"26,800",-850,"27,350","27,550","26,600","2,459,232"
7,2022.12.06,"27,650",+250,"26,950","28,100","26,600","4,010,849"
8,2022.12.05,"27,400","+1,150","26,550","27,950","26,500","6,193,979"
9,2022.12.02,"26,250",-250,"26,700","27,450","26,150","3,444,549"
10,2022.12.01,"26,500","+1,450","26,250","28,150","26,200","8,803,813"
11,2022.11.30,"25,050",0,"24,800","25,050","24,450","3,987,073"
12,2022.11.29,"25,050",+50,"24,750","25,350","24,400","2,282,850"
13,2022.11.28,"25,000","-1,400","26,400","26,400","24,700","2,891,018"
14,2022.11.25,"26,400",+600,"25,550","26,750","25,050","3,857,123"
15,2022.11.24,"25,800",+800,"25,150","26,150","25,150","2,999,955"
16,2022.11.23,"25,000",0,"25,900","26,750","24,850","5,018,825"
17,2022.11.22,"25,000","-1,850","26,600","26,650","24,900","5,517,295"
18,2022.11.21,"26,850",-850,"27,400","28,350","26,700","3,689,255"
19,2022.11.18,"27,700",-550,"28,300","28,500","26,950","4,459,794"
20,2022.11.17,"28,250",-50,"27,900","28,800","27,550","3,864,461"
21,2022.11.16,"28,300",-400,"29,300","29,400","28,200","7,234,826"
22,2022.11.15,"28,700",+800,"28,350","29,050","27,650","7,731,617"
23,2022.11.14,"27,900",+300,"28,050","30,250","27,600","18,426,232"
24,2022.11.11,"27,600","+4,650","25,250","29,400","25,050","32,689,166"
25,2022.11.10,"22,950",-250,"22,550","23,600","22,300","4,964,575"
26,2022.11.09,"23,200","+1,550","22,000","23,650","21,950","10,376,460"
27,2022.11.08,"21,650","+1,150","20,700","21,950","20,650","5,516,901"
28,2022.11.07,"20,500",-450,"21,150","21,150","20,300","3,558,867"
29,2022.11.04,"20,950","+1,100","19,900","21,800","19,900","11,576,493"
30,2022.11.03,"19,850",-400,"19,600","20,400","18,800","8,661,506"
31,2022.11.02,"20,250","+2,950","17,650","20,500","17,650","25,181,000"
32,2022.11.01,"17,300",+200,"17,000","17,650","16,850","2,557,884"
33,2022.10.31,"17,100","+1,250","16,150","17,100","16,100","3,901,609"
34,2022.10.28,"15,850",-400,"16,150","16,300","15,800","3,015,918"
35,2022.10.27,"16,250",+300,"16,050","16,450","16,000","1,914,446"
36,2022.10.26,"15,950",-400,"16,400","16,550","15,900","2,635,020"
37,2022.10.25,"16,350",-400,"16,700","16,950","16,300","1,950,396"
38,2022.10.24,"16,750",0,"17,200","17,450","16,600","2,174,318"
39,2022.10.21,"16,750",-100,"16,700","17,150","16,500","1,838,153"
40,2022.10.20,"16,850",-550,"17,450","17,650","16,550","3,722,302"
41,2022.10.19,"17,400",+200,"17,350","18,200","17,350","3,804,967"
42,2022.10.18,"17,200",+600,"17,000","17,500","16,900","3,062,046"
43,2022.10.17,"16,600",-900,"16,550","16,700","15,950","6,227,448"
44,2022.10.14,"17,500",+950,"17,250","17,950","17,100","5,452,407"
45,2022.10.13,"16,550","-1,200","17,350","17,500","16,500","4,515,245"
46,2022.10.12,"17,750",-50,"17,700","17,800","17,050","3,511,517"
47,2022.10.11,"17,800",-550,"18,100","18,550","17,650","3,147,167"
48,2022.10.07,"18,350","-1,900","19,800","19,900","18,350","6,342,105"
49,2022.10.06,"20,250",+250,"20,300","20,650","20,100","1,281,487"
50,2022.10.05,"20,000",-350,"20,650","21,600","19,900","3,706,917"
51,2022.10.04,"20,350",+300,"20,400","20,800","20,250","2,381,731"
52,2022.09.30,"20,050",-550,"20,500","20,550","19,650","3,572,107"
53,2022.09.29,"20,600","-1,300","22,050","22,250","20,450","3,270,904"
54,2022.09.28,"21,900",+400,"21,250","22,350","21,250","3,269,289"
55,2022.09.27,"21,500",-300,"21,750","22,000","20,950","3,172,907"
56,2022.09.26,"21,800","-1,650","22,850","22,950","21,800","3,982,222"
57,2022.09.23,"23,450",-600,"23,950","24,050","23,300","1,661,681"
58,2022.09.22,"24,050","-1,000","24,550","24,700","23,850","1,861,186"
59,2022.09.21,"25,050",-200,"25,000","25,250","24,300","1,450,014"
60,2022.09.20,"25,250",+250,"25,300","25,700","25,050","1,131,063"
61,2022.09.19,"25,000",-250,"25,250","25,350","24,900","1,138,066"
62,2022.09.16,"25,250",-350,"25,500","25,500","24,800","1,964,019"
63,2022.09.15,"25,600",-650,"26,300","26,500","25,600","1,120,056"
64,2022.09.14,"26,250",-550,"25,850","26,350","25,400","2,203,749"
65,2022.09.13,"26,800","+1,800","25,500","26,950","25,500","3,069,085"
66,2022.09.08,"25,000",+150,"25,150","25,350","24,850","1,695,455"
67,2022.09.07,"24,850",-750,"25,400","25,450","24,800","1,562,561"
68,2022.09.06,"25,600",0,"25,600","25,850","25,300","1,131,133"
69,2022.09.05,"25,600",-250,"25,600","26,100","25,400","1,578,530"
70,2022.09.02,"25,850",-250,"26,400","26,600","25,700","1,734,680"
71,2022.09.01,"26,100","-1,200","27,100","27,150","26,000","3,236,747"
72,2022.08.31,"27,300",0,"27,100","27,400","26,950","1,599,488"
73,2022.08.30,"27,300",+350,"27,100","27,450","27,100","1,262,354"
74,2022.08.29,"26,950","-1,150","27,200","27,350","26,900","2,467,445"
75,2022.08.26,"28,100",-200,"28,400","28,600","28,050","1,271,311"
76,2022.08.25,"28,300",0,"28,400","28,600","28,200","1,713,316"
77,2022.08.24,"28,300",+500,"28,000","28,400","27,550","2,411,714"
78,2022.08.23,"27,800",-250,"27,550","28,300","27,500","2,421,829"
79,2022.08.22,"28,050",-600,"28,650","28,800","27,900","3,505,072"
80,2022.08.19,"28,650","-2,550","29,500","30,100","27,150","29,537,451"
81,2022.08.18,"31,200","-1,200","32,000","32,300","31,100","1,501,362"
82,2022.08.17,"32,400",0,"32,850","33,100","32,400","674,516"
83,2022.08.16,"32,400",-550,"33,300","33,300","32,300","1,088,816"
84,2022.08.12,"32,950",-200,"32,800","33,500","32,750","965,590"
85,2022.08.11,"33,150","+1,600","32,150","33,200","32,050","2,097,603"
86,2022.08.10,"31,550","-1,650","32,950","33,000","31,500","1,726,192"
87,2022.08.09,"33,200","+1,200","31,750","33,350","31,750","1,703,261"
88,2022.08.08,"32,000",-300,"32,200","32,500","31,500","1,008,583"
89,2022.08.05,"32,300",-600,"33,000","33,000","31,950","1,537,284"
90,2022.08.04,"32,900","+1,500","31,650","33,400","31,150","4,508,880"
91,2022.08.03,"31,400","+1,050","30,650","31,400","30,500","1,910,282"
92,2022.08.02,"30,350",-450,"30,750","30,850","30,300","703,411"
93,2022.08.01,"30,800",-100,"31,000","31,350","30,800","710,808"
94,2022.07.29,"30,900",+850,"30,100","31,650","30,100","2,320,623"
95,2022.07.28,"30,050",+150,"30,300","30,800","29,900","1,236,983"
96,2022.07.27,"29,900",-150,"30,000","30,050","29,800","2,156,271"
97,2022.07.26,"30,050",-400,"30,400","30,500","30,000","775,675"
98,2022.07.25,"30,450",-450,"30,700","30,750","30,100","1,024,850"
99,2022.07.22,"30,900",-400,"31,300","31,450","30,600","905,350"
100,2022.07.21,"31,300",+450,"30,850","31,550","30,650","843,077"
101,2022.07.20,"30,850",+250,"31,200","31,450","30,750","830,978"
102,2022.07.19,"30,600",0,"30,550","30,600","30,300","530,432"
103,2022.07.18,"30,600",+700,"30,350","30,900","30,100","959,544"
104,2022.07.15,"29,900","-1,000","30,950","31,000","29,750","1,227,196"
105,2022.07.14,"30,900",-700,"31,000","31,650","30,300","1,255,512"
106,2022.07.13,"31,600","+1,600","30,350","31,600","30,150","1,340,853"
107,2022.07.12,"30,000","-1,200","31,000","31,000","29,750","1,307,531"
108,2022.07.11,"31,200",-100,"31,350","31,650","31,100","537,764"
109,2022.07.08,"31,300",-450,"31,950","32,000","31,200","845,872"
110,2022.07.07,"31,750",+450,"31,750","31,950","31,300","780,061"
111,2022.07.06,"31,300",+700,"30,250","31,800","29,850","2,551,934"
112,2022.07.05,"30,600","+1,150","29,550","30,750","29,500","1,600,485"
113,2022.07.04,"29,450",+500,"29,050","29,800","28,750","1,640,600"
114,2022.07.01,"28,950","-1,300","30,400","30,500","28,600","2,655,063"
115,2022.06.30,"30,250",-850,"31,000","31,200","30,100","2,230,180"
116,2022.06.29,"31,100","-2,650","32,550","32,800","30,650","4,292,024"
117,2022.06.28,"33,750",-800,"34,700","34,850","33,600","1,395,917"
118,2022.06.27,"34,550",-250,"35,000","35,150","34,000","1,250,644"
119,2022.06.24,"34,800","+1,050","33,750","35,100","33,700","1,340,546"
120,2022.06.23,"33,750",-250,"34,050","34,600","32,950","1,841,487"
121,2022.06.22,"34,000","-2,100","36,200","36,450","34,000","1,864,627"
122,2022.06.21,"36,100",+500,"36,400","36,400","35,650","1,054,363"
123,2022.06.20,"35,600",-550,"36,300","36,350","35,050","1,304,530"
124,2022.06.17,"36,150",-300,"35,700","36,150","35,400","2,210,132"
125,2022.06.16,"36,450",+650,"36,450","37,700","36,200","1,921,845"
126,2022.06.15,"35,800",+450,"35,150","36,050","35,000","1,589,703"
127,2022.06.14,"35,350",-650,"35,050","35,750","34,600","2,443,473"
128,2022.06.13,"36,000","-3,150","38,300","38,350","36,000","3,679,924"
129,2022.06.10,"39,150","-1,900","40,700","40,750","39,100","3,297,078"
130,2022.06.09,"41,050",+650,"40,200","42,300","39,950","6,994,591"
131,2022.06.08,"40,400","-1,100","41,500","41,500","39,600","2,070,212"
132,2022.06.07,"41,500",+350,"41,100","41,900","40,700","1,678,530"
133,2022.06.03,"41,150","+1,300","40,300","41,300","40,150","1,406,396"
134,2022.06.02,"39,850",-800,"40,300","40,500","39,800","1,117,195"
135,2022.05.31,"40,650",-650,"41,500","41,500","40,000","3,768,851"
136,2022.05.30,"41,300",+50,"41,500","41,750","40,800","914,296"
137,2022.05.27,"41,250",+600,"41,100","41,400","40,450","1,016,331"
138,2022.05.26,"40,650",+500,"40,150","41,400","40,050","1,303,023"
139,2022.05.25,"40,150",+750,"39,950","41,150","39,750","1,736,547"
140,2022.05.24,"39,400",-600,"40,050","40,200","39,400","661,541"
141,2022.05.23,"40,000",+50,"40,200","40,500","39,850","647,955"
142,2022.05.20,"39,950","+1,300","38,650","40,100","38,650","851,181"
143,2022.05.19,"38,650",-750,"38,400","38,750","38,000","1,023,492"
144,2022.05.18,"39,400",-600,"40,150","40,300","39,300","726,873"
145,2022.05.17,"40,000","+1,150","38,450","40,250","38,450","1,152,307"
146,2022.05.16,"38,850",+400,"38,500","39,750","38,450","1,189,121"
147,2022.05.13,"38,450",+500,"37,850","38,550","37,100","1,708,351"
148,2022.05.12,"37,950","-2,150","39,500","39,600","37,550","2,795,518"
149,2022.05.11,"40,100",+50,"39,900","40,300","39,600","957,524"
150,2022.05.10,"40,050",-850,"40,100","40,200","39,400","1,267,511"
151,2022.05.09,"40,900",+800,"39,850","41,150","39,850","1,182,506"
