,제목,링크,정보제공,날짜
0,"
카카오페이, 정보보호최고책임자로 김희재 CISO 영입
",https://finance.naver.com//item/news_read.naver?article_id=0000860864&office_id=366&code=377300&page=1&sm=title_entity_id.basic,조선비즈, 2022.12.08 14:30
1,"
카카오페이, 김희재 CISO 영입…""정보보호체계 강화""
",https://finance.naver.com//item/news_read.naver?article_id=0004826806&office_id=008&code=377300&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.08 11:18
2,"
카카오페이, 김희재 CISO 영입…“정보보호체계 강화할 것”
",https://finance.naver.com//item/news_read.naver?article_id=0000035862&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.08 11:03
3,"
카카오페이, 김희재 CISO 신규 선임
",https://finance.naver.com//item/news_read.naver?article_id=0004131211&office_id=011&code=377300&page=1&sm=title_entity_id.basic,서울경제, 2022.12.08 10:25
4,"
카카오페이, 김희재 CISO 영입…“정보보호체계 금융권 선도할 것”
",https://finance.naver.com//item/news_read.naver?article_id=0002075606&office_id=016&code=377300&page=1&sm=title_entity_id.basic,헤럴드경제, 2022.12.08 10:08
5,"
보안 강화하는 카카오페이, 김희재 CISO 영입
",https://finance.naver.com//item/news_read.naver?article_id=0005188973&office_id=277&code=377300&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.08 09:21
6,"
“내 미국 주식 배당금은 얼마?”…카카오페이, ‘배당금 분석’ 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000035795&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.07 14:57
7,"
카카오페이, 미국 주식·ETF 배당금 분석 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0002292190&office_id=123&code=377300&page=1&sm=title_entity_id.basic,조세일보, 2022.12.07 13:32
8,"
카카오페이, ‘배당금 분석 서비스’ 출시
",https://finance.naver.com//item/news_read.naver?article_id=0002075105&office_id=016&code=377300&page=1&sm=title_entity_id.basic,헤럴드경제, 2022.12.07 10:34
9,"
카카오페이, '배당금 분석' 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0005382184&office_id=018&code=377300&page=1&sm=title_entity_id.basic,이데일리, 2022.12.07 10:16
10,"
카카오페이, 배당금 분석 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0004130737&office_id=011&code=377300&page=1&sm=title_entity_id.basic,서울경제, 2022.12.07 09:43
11,"
카카오페이, 미국 주식·ETF '배당금 분석' 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0004826265&office_id=008&code=377300&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.07 09:35
12,"
카카오페이 첫 목표주가 상향 …4만→7.3만원으로
",https://finance.naver.com//item/news_read.naver?article_id=0004130624&office_id=011&code=377300&page=1&sm=title_entity_id.basic,서울경제, 2022.12.06 18:32
13,"
로카모빌리티 매각 본입찰에 맥쿼리 카카오페이 등 참여
",https://finance.naver.com//item/news_read.naver?article_id=0005056328&office_id=009&code=377300&page=1&sm=title_entity_id.basic,매일경제, 2022.12.06 18:04
14,"
“카카오페이, 로카모빌리티 인수시 기업가치 9조원”…신한證 목표가 4...
",https://finance.naver.com//item/news_read.naver?article_id=0000078713&office_id=024&code=377300&page=1&sm=title_entity_id.basic,매경이코노미, 2022.12.06 17:17
15,"
신한투자증권 “카카오페이, 로카모빌리티 인수 시 기업가치 9.4조… ...
",https://finance.naver.com//item/news_read.naver?article_id=0000860082&office_id=366&code=377300&page=1&sm=title_entity_id.basic,조선비즈, 2022.12.06 09:00
16,"
카카오페이, 목표가 82.5%↑...로카모빌리티 인수 시 몸값↑-신한...
",https://finance.naver.com//item/news_read.naver?article_id=0004938154&office_id=014&code=377300&page=1&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.06 08:57
17,"
""카카오페이, 로카모빌리티 인수 기대…목표가 4만→7.3만""-신한
",https://finance.naver.com//item/news_read.naver?article_id=0004783868&office_id=015&code=377300&page=1&sm=title_entity_id.basic,한국경제, 2022.12.06 08:37
