,횟수
"
카카오페이,",931
카카오페이,470
"
카카오페이",365
서비스,266
"카카오페이,",210
주식,187
"
카카오페이증권,",147
대표,111
"
[특징주]",105
"
신원근",97
"출시
",93
첫,92
영업손실,89
"대표,",83
등,81
블록딜,81
알리페이,78
"시작
",77
주가,76
"개시
",75
결제,73
지분,70
최대,67
자사주,65
"확대
",61
"...
",58
보험,58
신원근,58
소식에,55
경영진,55
거래액,51
"돌파
",50
"제공
",48
대출,47
보호예수,47
오프라인,46
추가,44
상품,43
해외,42
또,41
신용거래,41
MTS,41
3분기,39
"
카카오페이증권",39
"
카카오페이손보,",39
"급락
",39
1분기,38
"지원
",38
매각,37
주주,36
동남아,35
규모,35
위한,34
500만주,34
맞춤형,34
"강화
",33
정보,33
보호,33
펀드,33
대안신용평가,33
"매입
",33
누적,33
의무보유,32
및,32
블록딜에,32
카카오페이로,32
"하락
",32
"
금융위,",32
ESG,32
3%,32
비교,32
우리사주,31
"신저가
",31
20만원,31
‘주식,31
15%,31
직원,31
류영준,31
논란',30
거래,30
카카오페이와,30
업계,30
해제,29
물량,29
적자,29
월간,29
"
[증시이슈]",28
먹튀,28
매출,28
'내,28
신저가,28
추진위원회,28
금리,28
급락,28
될,28
"것”
",28
최초,27
편입,27
선물하기’,27
"진행
",27
