,날짜,종가,전일비,시가,고가,저가,거래량
0,2022.12.15,"61,100","-6,300","67,000","67,000","60,500","2,140,766"
1,2022.12.14,"67,400",-800,"68,700","68,700","66,500","1,076,781"
2,2022.12.13,"68,200","+3,200","66,200","69,100","65,500","2,181,941"
3,2022.12.12,"65,000","-1,100","65,100","66,400","63,600","1,141,720"
4,2022.12.09,"66,100","+2,800","64,400","66,300","63,500","2,332,008"
5,2022.12.08,"63,300","+1,700","61,200","64,400","61,200","1,756,303"
6,2022.12.07,"61,600","-2,000","62,000","63,000","61,100","1,160,284"
7,2022.12.06,"63,600",-200,"62,700","64,800","61,700","2,250,394"
8,2022.12.05,"63,800","+9,000","55,600","65,000","55,500","6,119,427"
9,2022.12.02,"54,800",0,"54,900","57,800","54,400","1,357,894"
10,2022.12.01,"54,800","+1,900","57,100","58,500","54,400","2,348,218"
11,2022.11.30,"52,900","-1,300","53,900","54,000","52,100","676,578"
12,2022.11.29,"54,200",+500,"53,000","55,000","53,000","510,632"
13,2022.11.28,"53,700","-2,900","56,000","56,500","53,200","730,706"
14,2022.11.25,"56,600",-400,"56,200","57,300","54,000","831,125"
15,2022.11.24,"57,000",+700,"56,900","58,300","56,500","784,903"
16,2022.11.23,"56,300",-100,"58,300","63,300","55,900","1,885,563"
17,2022.11.22,"56,400","-4,600","59,600","60,400","56,200","1,454,159"
18,2022.11.21,"61,000",-600,"60,700","62,900","60,500","753,004"
19,2022.11.18,"61,600","-3,100","64,000","64,800","60,400","1,521,198"
20,2022.11.17,"64,700","-1,200","64,500","66,500","63,100","1,481,096"
21,2022.11.16,"65,900","+1,300","66,700","68,300","64,900","3,746,690"
22,2022.11.15,"64,600","+1,900","63,000","65,100","59,900","3,304,461"
23,2022.11.14,"62,700","+3,000","59,500","70,900","58,900","9,744,228"
24,2022.11.11,"59,700","+3,000","47,900","59,700","47,900","7,144,703"
25,2022.11.10,"45,950","-1,350","46,050","47,350","45,350","1,335,752"
26,2022.11.09,"47,300","+3,300","44,850","49,600","44,600","2,858,269"
27,2022.11.08,"44,000","+3,850","40,500","44,900","40,450","2,159,427"
28,2022.11.07,"40,150",+150,"40,000","41,100","39,350","764,838"
29,2022.11.04,"40,000","+2,250","37,450","41,150","37,400","2,077,827"
30,2022.11.03,"37,750","-1,250","38,000","38,450","36,150","1,093,277"
31,2022.11.02,"39,000","+3,300","35,450","39,750","35,350","2,211,818"
32,2022.11.01,"35,700",+350,"35,000","36,000","34,700","567,561"
33,2022.10.31,"35,350","+1,400","34,700","35,650","33,850","541,271"
34,2022.10.28,"33,950",-650,"34,200","34,750","33,350","368,327"
35,2022.10.27,"34,600",+750,"34,000","35,050","33,350","372,986"
36,2022.10.26,"33,850","-1,150","35,150","35,350","33,750","451,603"
37,2022.10.25,"35,000",-800,"36,150","36,800","34,700","456,163"
38,2022.10.24,"35,800",+600,"36,200","37,200","35,600","549,528"
39,2022.10.21,"35,200",+100,"34,950","35,750","34,350","416,178"
40,2022.10.20,"35,100","-1,850","36,900","36,900","34,750","679,111"
41,2022.10.19,"36,950",+200,"36,600","38,650","36,100","850,461"
42,2022.10.18,"36,750","+2,150","35,500","37,900","35,450","1,101,745"
43,2022.10.17,"34,600","-1,500","33,600","35,150","32,450","1,110,000"
44,2022.10.14,"36,100","+1,700","35,650","37,100","35,550","1,049,931"
45,2022.10.13,"34,400","-1,800","35,800","36,000","33,950","1,109,941"
46,2022.10.12,"36,200",-150,"36,450","36,650","35,700","824,354"
47,2022.10.11,"36,350","-3,750","39,350","39,400","36,350","1,409,393"
48,2022.10.07,"40,100","-6,750","46,200","46,250","40,100","2,460,493"
49,2022.10.06,"46,850",-150,"47,400","47,600","46,700","449,822"
50,2022.10.05,"47,000","-2,350","50,200","50,800","47,000","595,391"
51,2022.10.04,"49,350",+250,"49,600","50,800","49,200","374,579"
52,2022.09.30,"49,100",-150,"48,850","50,300","48,500","352,813"
53,2022.09.29,"49,250","-1,750","52,200","52,400","49,100","469,912"
54,2022.09.28,"51,000","-1,600","51,700","53,100","50,500","381,440"
55,2022.09.27,"52,600",-400,"52,800","53,800","51,400","429,327"
56,2022.09.26,"53,000","-2,300","54,000","54,500","52,800","301,645"
57,2022.09.23,"55,300","-2,600","57,700","58,000","55,200","354,966"
58,2022.09.22,"57,900","-2,400","59,100","59,600","57,400","386,173"
59,2022.09.21,"60,300",-200,"60,000","60,600","59,600","181,295"
60,2022.09.20,"60,500",0,"61,100","61,700","60,000","220,095"
61,2022.09.19,"60,500","-2,600","63,000","63,000","60,500","272,443"
62,2022.09.16,"63,100","+2,000","60,500","63,200","60,100","299,851"
63,2022.09.15,"61,100",-800,"62,000","62,300","61,000","194,186"
64,2022.09.14,"61,900","-1,600","60,600","63,200","59,600","424,398"
65,2022.09.13,"63,500","+2,000","62,300","63,900","62,000","456,016"
66,2022.09.08,"61,500","+3,000","59,400","61,600","59,000","589,593"
67,2022.09.07,"58,500",-300,"58,200","59,000","56,900","269,648"
68,2022.09.06,"58,800",+600,"58,000","59,100","58,000","149,346"
69,2022.09.05,"58,200",0,"57,700","59,600","57,500","217,829"
70,2022.09.02,"58,200","-1,000","59,600","59,800","57,800","472,656"
71,2022.09.01,"59,200","-3,000","61,600","61,700","59,200","563,020"
