,날짜,종가,전일비,시가,고가,저가,거래량
0,2022.12.15,"55,300","-3,400","57,900","58,000","55,300","2,994,216"
1,2022.12.14,"58,700",+500,"58,800","59,500","58,300","1,550,967"
2,2022.12.13,"58,200",+100,"59,000","59,700","57,700","1,532,110"
3,2022.12.12,"58,100",0,"57,700","58,700","57,000","1,402,888"
4,2022.12.09,"58,100","+2,600","56,100","58,200","56,000","2,404,261"
5,2022.12.08,"55,500",0,"55,900","56,100","54,900","1,376,893"
6,2022.12.07,"55,500",-500,"55,700","56,600","55,400","1,014,142"
7,2022.12.06,"56,000","-2,000","57,300","57,900","56,000","1,380,887"
8,2022.12.05,"58,000","+1,100","57,200","59,000","57,200","2,050,445"
9,2022.12.02,"56,900","-1,000","57,900","58,300","56,900","1,165,966"
10,2022.12.01,"57,900","+1,500","59,200","59,600","57,700","2,895,695"
11,2022.11.30,"56,400",+500,"55,600","56,400","55,100","1,825,885"
12,2022.11.29,"55,900","+1,300","54,200","56,200","54,100","1,358,761"
13,2022.11.28,"54,600","-1,500","55,800","55,800","54,500","1,365,592"
14,2022.11.25,"56,100","-1,300","56,200","57,300","55,600","1,322,780"
15,2022.11.24,"57,400","+1,700","56,200","58,000","56,000","1,816,392"
16,2022.11.23,"55,700","+1,400","56,300","57,700","55,400","2,551,968"
17,2022.11.22,"54,300","-2,000","55,900","56,100","54,100","1,793,196"
18,2022.11.21,"56,300","-1,400","57,500","58,300","56,000","1,765,878"
19,2022.11.18,"57,700","-1,400","58,900","59,200","57,600","1,742,383"
20,2022.11.17,"59,100",+500,"58,000","59,200","57,600","1,744,238"
21,2022.11.16,"58,600",-100,"59,700","59,900","57,800","2,451,864"
22,2022.11.15,"58,700",+200,"58,500","58,900","57,300","2,373,778"
23,2022.11.14,"58,500",-200,"59,300","60,200","58,000","5,392,366"
24,2022.11.11,"58,700","+7,900","54,500","61,000","53,600","17,375,821"
25,2022.11.10,"50,800","-1,300","51,300","51,800","50,700","2,284,351"
26,2022.11.09,"52,100",+600,"52,000","53,800","51,700","4,005,676"
27,2022.11.08,"51,500","+1,650","50,200","51,600","50,000","4,457,042"
28,2022.11.07,"49,850",-450,"50,500","50,700","49,700","2,527,175"
29,2022.11.04,"50,300",+200,"49,500","50,600","48,950","3,242,294"
30,2022.11.03,"50,100","-2,200","50,800","51,200","49,700","3,572,826"
31,2022.11.02,"52,300","+1,600","50,100","53,100","49,700","4,937,758"
32,2022.11.01,"50,700",0,"50,400","50,800","49,650","1,653,708"
33,2022.10.31,"50,700","+1,950","49,600","50,700","48,700","3,130,880"
34,2022.10.28,"48,750",0,"48,200","49,450","47,800","1,867,478"
35,2022.10.27,"48,750","+1,050","47,700","48,850","47,200","2,442,155"
36,2022.10.26,"47,700","-1,100","48,950","48,950","47,650","2,149,830"
37,2022.10.25,"48,800",+350,"48,800","49,550","48,550","1,910,362"
38,2022.10.24,"48,450",-400,"50,000","50,600","48,300","2,848,346"
39,2022.10.21,"48,850","+1,100","47,650","49,650","47,050","3,354,625"
40,2022.10.20,"47,750","-2,050","49,800","49,800","47,300","4,240,904"
41,2022.10.19,"49,800",+400,"49,800","52,200","49,400","4,540,597"
42,2022.10.18,"49,400","+1,050","48,900","50,200","48,400","6,284,583"
43,2022.10.17,"48,350","-3,050","48,000","49,150","46,500","9,711,382"
44,2022.10.14,"51,400","+4,100","49,050","51,500","49,050","3,872,919"
45,2022.10.13,"47,300","-2,550","49,400","49,500","47,300","2,538,948"
46,2022.10.12,"49,850",-250,"49,850","50,300","49,000","2,106,857"
47,2022.10.11,"50,100",-800,"49,350","50,400","48,800","2,430,880"
48,2022.10.07,"50,900","-3,900","54,300","54,800","50,500","4,265,238"
49,2022.10.06,"54,800",+300,"54,600","55,700","53,900","2,123,384"
50,2022.10.05,"54,500","-1,400","56,700","57,100","54,300","2,107,661"
51,2022.10.04,"55,900","-1,200","57,700","58,100","55,100","2,220,578"
52,2022.09.30,"57,100","+1,200","55,200","58,000","55,000","1,882,206"
53,2022.09.29,"55,900","-1,000","57,700","59,000","55,800","2,212,133"
54,2022.09.28,"56,900","-2,400","58,600","58,800","56,100","2,387,527"
55,2022.09.27,"59,300",-400,"59,500","60,300","57,800","1,807,942"
56,2022.09.26,"59,700","-1,300","60,100","61,000","59,200","1,983,320"
57,2022.09.23,"61,000",-300,"61,300","61,800","60,900","1,660,303"
58,2022.09.22,"61,300","-2,700","62,700","62,800","61,100","1,743,099"
59,2022.09.21,"64,000","-1,300","64,900","65,300","63,600","1,056,852"
60,2022.09.20,"65,300",-100,"66,400","66,600","65,300","854,697"
61,2022.09.19,"65,400","-1,500","67,100","67,300","65,400","1,132,357"
62,2022.09.16,"66,900",-500,"66,700","67,700","66,300","922,538"
63,2022.09.15,"67,400",-700,"68,600","69,000","67,400","984,996"
64,2022.09.14,"68,100","-1,900","67,000","68,500","66,500","1,827,706"
65,2022.09.13,"70,000","+2,000","69,100","70,800","69,100","2,103,796"
66,2022.09.08,"68,000",+500,"68,500","69,200","67,600","1,169,203"
67,2022.09.07,"67,500","-2,200","69,100","69,200","67,000","1,793,068"
68,2022.09.06,"69,700",-300,"70,000","70,600","69,500","744,418"
69,2022.09.05,"70,000",-200,"69,800","70,800","69,400","865,940"
70,2022.09.02,"70,200","-1,200","72,100","72,200","70,000","1,201,760"
71,2022.09.01,"71,400","-2,000","72,300","72,500","71,200","1,275,977"
72,2022.08.31,"73,400",+200,"72,300","73,700","71,800","1,348,480"
73,2022.08.30,"73,200","+1,000","72,500","73,500","72,500","802,825"
74,2022.08.29,"72,200","-3,800","72,800","73,400","71,800","1,632,297"
75,2022.08.26,"76,000",-100,"76,700","77,200","75,500","993,727"
76,2022.08.25,"76,100","+1,200","75,400","76,800","75,000","1,252,757"
77,2022.08.24,"74,900",+100,"74,900","75,500","74,200","936,191"
78,2022.08.23,"74,800",-200,"74,800","75,800","74,200","1,327,312"
79,2022.08.22,"75,000","-1,700","75,600","76,300","74,600","1,250,643"
80,2022.08.19,"76,700","-2,500","78,300","78,800","76,400","1,804,047"
81,2022.08.18,"79,200",-900,"79,400","79,600","77,500","1,640,906"
82,2022.08.17,"80,100",-600,"80,800","81,200","79,600","1,041,971"
83,2022.08.16,"80,700","-1,800","83,000","83,200","80,500","1,798,225"
84,2022.08.12,"82,500","-1,200","83,000","83,200","81,700","1,069,578"
85,2022.08.11,"83,700","+3,400","82,600","84,300","82,400","1,918,391"
86,2022.08.10,"80,300","-2,900","82,300","82,800","80,300","1,428,961"
87,2022.08.09,"83,200","+1,200","81,800","83,800","81,500","1,541,966"
88,2022.08.08,"82,000",+800,"80,600","82,000","80,100","1,674,063"
89,2022.08.05,"81,200",-500,"82,000","83,100","80,700","2,511,627"
90,2022.08.04,"81,700","+5,700","77,000","81,700","76,800","5,803,458"
91,2022.08.03,"76,000","+4,200","71,900","76,100","71,500","2,893,725"
92,2022.08.02,"71,800","-2,200","73,800","73,800","71,600","1,786,920"
93,2022.08.01,"74,000",-800,"74,800","75,200","74,000","907,903"
94,2022.07.29,"74,800","+2,400","73,200","75,400","73,200","2,164,565"
95,2022.07.28,"72,400",+500,"73,000","74,200","72,100","1,226,484"
96,2022.07.27,"71,900",-500,"72,500","72,600","71,200","924,477"
97,2022.07.26,"72,400",-600,"72,600","72,900","71,800","696,076"
98,2022.07.25,"73,000",+900,"71,600","73,100","71,400","1,038,303"
99,2022.07.22,"72,100","-1,600","73,500","73,600","71,600","1,601,677"
100,2022.07.21,"73,700",+300,"73,900","75,000","73,500","1,244,024"
101,2022.07.20,"73,400",+600,"74,700","75,600","73,100","1,758,524"
102,2022.07.19,"72,800",0,"72,000","73,200","71,600","949,001"
103,2022.07.18,"72,800","+2,700","71,100","73,200","70,600","1,690,739"
104,2022.07.15,"70,100","-2,000","72,100","72,200","69,400","1,605,289"
105,2022.07.14,"72,100",+200,"71,000","73,400","70,400","1,597,400"
106,2022.07.13,"71,900","+1,600","70,100","72,200","70,100","1,156,844"
107,2022.07.12,"70,300","-1,000","70,700","71,000","69,400","1,082,539"
108,2022.07.11,"71,300",-500,"71,900","72,800","71,100","979,002"
109,2022.07.08,"71,800","-1,200","73,900","73,900","71,800","1,418,763"
110,2022.07.07,"73,000",-500,"74,500","74,900","72,700","1,603,464"
111,2022.07.06,"73,500","+1,500","71,300","75,000","71,200","2,724,220"
112,2022.07.05,"72,000","+3,900","68,700","72,500","68,300","2,125,688"
113,2022.07.04,"68,100",+800,"67,300","69,000","66,200","1,019,171"
114,2022.07.01,"67,300","-2,600","70,000","70,300","66,600","1,817,276"
115,2022.06.30,"69,900",-900,"70,400","71,100","69,900","1,339,031"
116,2022.06.29,"70,800",-800,"70,100","71,300","69,700","1,185,471"
117,2022.06.28,"71,600",-200,"71,600","72,300","70,600","1,082,711"
118,2022.06.27,"71,800",+300,"72,400","72,900","70,600","1,470,633"
119,2022.06.24,"71,500","+4,400","67,400","71,500","67,400","2,331,632"
120,2022.06.23,"67,100","-1,400","68,300","69,300","66,700","2,005,224"
121,2022.06.22,"68,500","-2,000","70,900","71,000","68,500","1,908,000"
122,2022.06.21,"70,500",+900,"69,600","70,700","69,200","1,525,415"
123,2022.06.20,"69,600","-2,600","72,300","72,900","68,700","2,436,471"
124,2022.06.17,"72,200",-100,"70,200","73,000","70,200","3,044,377"
125,2022.06.16,"72,300",-400,"74,400","75,200","71,900","2,053,257"
126,2022.06.15,"72,700","-3,900","76,100","76,500","72,100","2,844,798"
127,2022.06.14,"76,600",+100,"74,900","76,900","74,200","2,342,617"
128,2022.06.13,"76,500","-3,600","77,800","78,200","76,100","2,176,053"
129,2022.06.10,"80,100","-1,200","80,400","81,000","80,000","1,430,382"
130,2022.06.09,"81,300",-200,"81,100","81,800","80,300","1,732,196"
131,2022.06.08,"81,500",-400,"82,700","82,800","81,200","1,317,967"
132,2022.06.07,"81,900","-3,800","84,500","84,800","81,600","2,373,935"
133,2022.06.03,"85,700","+2,000","84,800","87,400","84,700","2,371,620"
134,2022.06.02,"83,700","-1,300","84,000","84,200","82,900","1,147,185"
135,2022.05.31,"85,000","+1,100","84,100","85,000","82,900","2,170,810"
136,2022.05.30,"83,900","+2,200","82,800","84,000","82,600","2,091,429"
137,2022.05.27,"81,700",+200,"82,400","83,000","81,500","1,038,755"
138,2022.05.26,"81,500",-300,"81,900","83,300","81,000","1,338,305"
139,2022.05.25,"81,800","+1,200","81,000","82,000","80,300","1,365,261"
140,2022.05.24,"80,600","-2,300","82,500","82,600","80,600","1,154,150"
141,2022.05.23,"82,900",-100,"82,700","83,500","82,400","933,750"
142,2022.05.20,"83,000","+2,600","80,800","83,300","80,400","1,561,541"
143,2022.05.19,"80,400","-2,200","80,500","81,000","80,000","1,519,533"
144,2022.05.18,"82,600",-600,"83,700","84,000","82,500","1,208,755"
145,2022.05.17,"83,200",+900,"82,300","83,400","82,100","1,218,935"
146,2022.05.16,"82,300",+500,"83,300","84,300","82,100","1,598,561"
147,2022.05.13,"81,800","+1,100","80,700","81,900","80,300","1,528,530"
148,2022.05.12,"80,700","-4,700","83,700","84,000","80,600","2,971,934"
149,2022.05.11,"85,400","+1,800","83,800","85,400","83,300","1,367,542"
150,2022.05.10,"83,600",-500,"82,000","84,300","81,900","2,390,050"
151,2022.05.09,"84,100",-200,"84,000","85,000","82,800","1,533,542"
152,2022.05.06,"84,300","-4,700","86,500","86,600","84,100","3,592,237"
153,2022.05.04,"89,000",+500,"88,600","91,900","88,300","1,865,993"
154,2022.05.03,"88,500","+1,200","87,300","89,200","87,000","1,435,047"
155,2022.05.02,"87,300","-2,600","88,400","88,900","87,000","1,726,505"
156,2022.04.29,"89,900",+600,"89,300","90,400","88,700","1,110,597"
157,2022.04.28,"89,300",+900,"89,700","89,800","88,100","1,216,554"
158,2022.04.27,"88,400","-1,800","87,600","88,900","87,600","1,390,581"
159,2022.04.26,"90,200",+500,"89,800","91,700","89,700","1,368,258"
160,2022.04.25,"89,700","-2,300","90,400","91,600","89,600","1,511,408"
161,2022.04.22,"92,000","-1,600","92,200","92,400","91,400","1,553,904"
162,2022.04.21,"93,600","-1,500","95,100","95,100","93,100","1,809,576"
163,2022.04.20,"95,100",0,"96,100","96,200","94,600","880,905"
164,2022.04.19,"95,100",+700,"95,000","96,500","94,900","836,819"
165,2022.04.18,"94,400","-1,000","94,500","94,900","94,000","774,064"
166,2022.04.15,"95,400",-700,"95,000","96,700","93,700","1,080,260"
167,2022.04.14,"96,100",+300,"96,400","96,500","94,500","1,299,995"
168,2022.04.13,"95,800","+1,700","95,000","96,200","94,600","1,403,239"
169,2022.04.12,"94,100","-1,000","93,400","95,100","92,100","1,909,946"
170,2022.04.11,"95,100","-2,900","97,100","97,100","94,600","2,061,220"
171,2022.04.08,"98,000","-1,900","100,000","100,500","96,500","2,929,790"
172,2022.04.07,"99,900","-5,100","103,000","103,500","99,900","2,885,845"
173,2022.04.06,"105,000","-2,500","105,500","106,500","104,000","1,529,617"
174,2022.04.05,"107,500","+2,000","106,500","108,000","106,000","1,617,662"
175,2022.04.04,"105,500",-500,"105,500","106,000","104,000","1,276,251"
176,2022.04.01,"106,000",-500,"105,500","106,500","105,000","1,163,804"
177,2022.03.31,"106,500",0,"106,000","107,500","105,500","1,065,806"
178,2022.03.30,"106,500","+1,000","107,000","108,000","106,000","1,115,413"
179,2022.03.29,"105,500",+500,"106,000","106,500","104,500","1,318,977"
180,2022.03.28,"105,000",0,"105,000","105,500","102,500","1,534,357"
181,2022.03.25,"105,000",0,"106,000","107,000","104,000","1,944,089"
182,2022.03.24,"105,000","-1,500","105,000","105,500","103,000","2,071,398"
183,2022.03.23,"106,500",0,"107,500","108,500","104,500","2,310,401"
184,2022.03.22,"106,500","+1,500","104,500","108,000","104,500","2,052,237"
185,2022.03.21,"105,000","-3,500","108,500","110,000","104,000","3,284,518"
186,2022.03.18,"108,500","+2,000","107,500","109,000","106,000","2,993,197"
187,2022.03.17,"106,500","+2,500","106,000","109,000","105,500","3,504,355"
188,2022.03.16,"104,000","+1,000","105,000","105,500","102,000","1,763,654"
189,2022.03.15,"103,000",-500,"103,500","104,500","101,000","1,778,162"
190,2022.03.14,"103,500","+2,000","102,500","105,000","102,000","3,656,814"
191,2022.03.11,"101,500","+1,500","100,000","102,000","98,400","3,160,552"
192,2022.03.10,"100,000","+7,900","94,400","100,000","94,300","5,742,398"
193,2022.03.08,"92,100",+500,"90,000","94,000","89,600","1,774,311"
194,2022.03.07,"91,600","-3,100","93,400","93,500","91,600","1,950,179"
195,2022.03.04,"94,700","-1,900","96,200","96,300","94,500","1,539,472"
196,2022.03.03,"96,600","+1,300","96,100","97,300","95,300","1,738,057"
197,2022.03.02,"95,300","+1,200","94,400","95,700","93,900","2,173,330"
198,2022.02.28,"94,100",-300,"94,100","94,900","93,100","2,175,339"
199,2022.02.25,"94,400","+4,400","92,100","95,000","91,800","3,690,345"
200,2022.02.24,"90,000","-2,600","91,100","91,800","89,300","2,176,721"
201,2022.02.23,"92,600",+800,"92,500","93,800","91,900","1,738,804"
202,2022.02.22,"91,800","-1,400","91,700","93,200","91,200","1,904,605"
203,2022.02.21,"93,200","+1,800","90,100","94,500","89,900","2,855,108"
204,2022.02.18,"91,400",+800,"89,200","92,500","88,700","2,232,912"
205,2022.02.17,"90,600","-1,300","91,900","92,100","89,200","2,851,978"
206,2022.02.16,"91,900","+3,600","90,200","92,100","89,600","2,468,864"
207,2022.02.15,"88,300",-500,"89,200","91,000","87,900","2,250,253"
208,2022.02.14,"88,800","-2,900","90,300","90,800","87,500","4,002,853"
209,2022.02.11,"91,700","+4,400","87,300","93,600","85,300","7,012,496"
210,2022.02.10,"87,300","+1,200","86,900","89,400","86,000","3,401,352"
211,2022.02.09,"86,100",-400,"86,900","87,300","85,700","1,640,629"
212,2022.02.08,"86,500","-1,500","88,000","89,200","86,000","2,030,457"
213,2022.02.07,"88,000",+900,"87,300","88,000","85,000","2,224,116"
214,2022.02.04,"87,100","+2,000","85,100","87,500","84,500","1,870,626"
215,2022.02.03,"85,100",+100,"87,100","88,300","85,100","3,118,696"
216,2022.01.28,"85,000","+2,400","82,800","85,600","82,200","2,958,280"
217,2022.01.27,"82,600","-4,300","87,000","87,500","82,600","3,793,749"
218,2022.01.26,"86,900",-700,"87,300","88,600","86,600","2,204,197"
219,2022.01.25,"87,600","-2,400","90,300","90,700","87,500","2,844,579"
220,2022.01.24,"90,000","-1,800","90,900","92,100","89,700","2,021,697"
221,2022.01.21,"91,800",-500,"91,100","94,100","90,600","2,954,607"
222,2022.01.20,"92,300","+1,900","90,800","92,700","88,800","3,004,684"
223,2022.01.19,"90,400","-1,600","88,400","90,400","87,300","4,587,643"
224,2022.01.18,"92,000",-900,"92,900","94,400","92,000","1,650,829"
225,2022.01.17,"92,900","-1,000","92,900","94,300","92,000","2,589,273"
226,2022.01.14,"93,900","-2,800","95,200","95,300","93,600","2,685,014"
